gardiner_code,gardiner_source,unicode_cp,unicode,unikemet_code,jsesh_code,category,description,function,core
O18E,kEH_HG,13F9B,U+13F9B,HJ O018E,O18E,O-09-003,,,
O19,kEH_JSesh,1326D,U+1326D,O019,O19,O-09-057,"An archaic shrine, seen from the side, with a downward sloping roof, with vertical poles in front of the shrine itself, connected to the shrine.",Classifier shrine,C
O190,kEH_HG,13FDC,U+13FDC,HJ O190,O190,O-13-011,An obelisk of an Old Kingdom sun temple.,Classifier solar temple,C
O191,kEH_HG,13FDA,U+13FDA,HJ O191,O191,O-13-008,"An obelisk, without a base.",Classifier obelisk,C
O191A,kEH_HG,13FDB,U+13FDB,HJ O191A,O191A,O-13-009,The benben stone.,"Phonemogram/logogram (to beget, to ejaculate, to create)",C
O194,kEH_HG,13FD9,U+13FD9,HJ O194,O194,O-12-005,A truncated pyramid.,?,C
O195A,kEH_HG,13FDD,U+13FDD,HJ O195A,O195A,O-14-008,A narrow shrine or stela on a base.,Classifier shrine/chapel,C
O196,kEH_HG,132D0,U+132D0,R029,O196,O-14-010,"A snake with a coiled tail, written vertically (I114), written inside a narrow shrine or stela on a base (O195A).","Logogram (shrine, row of shrines)",C
O196A,kEH_HG,13FDE,U+13FDE,HJ O196A,O196A,O-14-013,"A snake with a coiled tail, written vertically (I114), written inside a narrow shrine or stela on a plan of a crossroads in a village (O49).","Logogram (shrine, row of shrines)",C
O19A,kEH_HG,1326E,U+1326E,O019A,O19A,O-09-062,"An archaic shrine, seen from the side, with a downward sloping roof, with upward curving lines coming from the roof, and short vertical lines in front of the shrine.","Logogram (shrine, row of shrines)",C
O19C,kEH_HG,13FA6,U+13FA6,HJ O019C,O19C,O-09-060,"An archaic shrine, seen from the side, with a downward sloping roof, with two vertical poles forming the front, with horizontal lines extending from the top of the roof, with short vertical lines in front of the poles.",Classifier shrine,C
O1B,kEH_HG,13F54,U+13F54,HJ O001B,O1B,O-02-007,"A house or domain, with only one of the two lines at the bottom.","Classifier place, building",C
O2,kEH_HG,13252,U+13252,O002,O2,O-01-047,"A mace with a pear-shaped head, written vertically (T3), intruding with the top inside a house or enclosure (O1).",Logogram (treasury),L
O20,kEH_HG,1326F,U+1326F,O020,O20,O-09-079,"A tall shrine with a round roof, with two vertical lines enclosing the top, on a base, with internal decoration consisting of two vertical lines","Classifier sanctuary, shrine",C
O201,kEH_HG,13FE3,U+13FE3,HJ O201,O201,O-16-011,,,
O206,kEH_HG,13FE5,U+13FE5,HJ O206,O206,O-16-031,"A column resembling a stem of papyrus with a bud (M13), without an abacus; on top of a base.",Classifier column (columned hall),C
O207,kEH_HG,13FE6,U+13FE6,HJ O207,O207,O-16-035,,,
O209,kEH_HG,13FE9,U+13FE9,HJ O209,O209,O-16-046,,,
O20A,kEH_HG,13FAC,U+13FAC,O020E,O20A,O-09-081,"A tall shrine with a round roof, with two vertical lines enclosing the top, on a base, with internal decoration consisting of two rectangles, with an angled line inside, forming a point at the front.","Classifier sanctuary, shrine",C
O21,kEH_HG,13271,U+13271,O021,O21,O-07-009,"A façade of a shrine with a flat roof, with vertical sides, with a small doorway.","Logogram (pavilion, hall, booth)",C
O210,kEH_HG,13FE8,U+13FE8,HJ O210,O210,O-16-044,,,
O210A,kEH_HG,13FE4,U+13FE4,HJ O210A,O210A,O-16-030,"A column resembling a stem of papyrus with a bud (M13), with an abacus; on top of a base.",Logogram (papyriform column),C
O211,kEH_HG,13FE7,U+13FE7,HJ O211,O211,O-16-041,"A column with oblique sides, with a capital resembling a round vessel with an upstanding rim.",Classifier column (columned hall),C
O212,kEH_HG,13FED,U+13FED,HJ O212,O212,O-16-050,,,
O214,kEH_HG,13FEA,U+13FEA,HJ O214,O214,O-16-047,"The capital of a column, in the form of a lotus flower, with an abacus on top.",Phonemogram,C
O215,kEH_HG,13FEC,U+13FEC,HJ O215,O215,O-16-049,"The capital of a column, in the form of the face of a human female, with hair in two curling sidelocks, with the ears of a bovid.","Logogram (face, sight)",C
O216,kEH_HG,13F5A,U+13F5A,HJ O216,O216,O-03-031,"A façade of a palace or tomb, represented by two rectangles, with a horizontal line with two crossing vertical lines in it, left horizontal line lower than the top.",,C
O217,kEH_HG,13FEE,U+13FEE,HJ O217,O217,O-18-002,"A rectangular door bolt, resembling the forepart of a lion, with a rope used for locking attached to the paw of the lion, with a plummet attached to the rope.",Classifier door bolt,C
O218,kEH_HG,13FEF,U+13FEF,HJ O218,O218,O-18-004,"A lion, lying down, tail curled over the body towards the back (E23), on top of a shrine, facing its mirror, connected with a rope running from paw to paw.",Classifier door bolt,C
O219,kEH_HG,13FF0,U+13FF0,HJ O219,O219,O-18-005,"A door bolt, which curves upwards and backwards at the top.",Classifier door bolt,C
O21A,kEH_HG,13FAF,U+13FAF,HJ O021A,O21A,O-09-085,,,
O21B,kEH_HG,13F8B,U+13F8B,HJ O021B,O21B,O-07-006,"A façade of a shrine with a flat roof, with oblique sides, with a large doorway.",Classifier doorway/gateway,C
O21C,kEH_HG,13F8F,U+13F8F,HJ O021C,O21C,O-07-014,"A façade of a shrine with a flat roof, with uraei on top, facing forwards, with oblique sides, with a large doorway.",Phonemogram (in r-rw.t (outside)),C
O21D,kEH_HG,13F8C,U+13F8C,HJ O021D,O21D,O-07-010,"written over a façade of a shrine with a flat roof, with vertical sides, with a small rectangle in the bottom corner away from the reading direction (O21D).",Logogram,C
O22,kEH_HG,13272,U+13272,O022,O22,O-10-034,An open booth supported by a pole.,Classifier booth,C
O222,kEH_HG,13FF2,U+13FF2,HJ O222,O222,O-18-021,"A door bolt (O034), written over two human feet and lower legs (D58), arranged horizontally.",Phonemogram,C
O229,kEH_HG,14004,U+14004,HJ O229,O229,O-22-014,,,
O229A,kEH_HG,14005,U+14005,HJ O229A,O229A,O-22-015,"Two rounded heaps of grain on a raised floor, without internal detail, with a small bit of space between the heaps.",Logogram (granary),C
O22A,kEH_HG,13FBC,U+13FBC,HJ O022A,O22A,O-10-030,"A booth, with the roof curving gradually, supported by a forked pole for supporting a roof (O30), with a circle on top of the roof.",Logogram (booth),C
O22B,kEH_HG,13FBD,U+13FBD,HJ O022B,O22B,O-10-031,"A booth, with the roof curving gradually, with a vertical support in the middle, with a circle on top of the roof.",Phonemogram,C
O22C,kEH_HG,13FBE,U+13FBE,HJ O022C,O22C,O-10-035,An open booth supported by a forked pole for supporting a roof (O30).,Phonemogram (in ꜥrḳ-wr),C
O23,kEH_HG,13273,U+13273,O023,O23,O-11-004,"A double pavilion, with flower-topped capitals on the columns, with curved roofs, with two carrying chairs (Q2) facing away from one another.","Logogram (jubilee, sed-festival)",C
O231,kEH_HG,14014,U+14014,HJ O231,O231,O-24-047,"A rectangular stone slab or brick, on top of two stone slaps or bricks, arranged horizontally, with a bit of space between them.",Classifier part of a building,C
O234,kEH_HG,14009,U+14009,HJ O234,O234,O-24-011,"A mastaba with two compartments under a single beam, with a doorway in both compartments.","Classifier to ascend, to mount up",C
O237,kEH_HG,14011,U+14011,HJ O237,O237,O-24-036,"A plan of a prehistoric building at the town of Nekhen, written as an oval, with multiple angled lines used as internal decoration.",Logogram (Hierakonpolis),C
O238,kEH_HG,14013,U+14013,HJ O238,O238,O-24-039,,,
O23B,kEH_HG,13FC1,U+13FC1,HJ O023B,O23B,O-11-006,"A carrying chair (Q2), written inside a booth or pavilion, with two columns resembling a stem of papyrus with a bud (M13), with a curved roof.",Classifier throne dais,C
O23C,kEH_HG,13FC3,U+13FC3,HJ O023C,O23C,O-11-009,"An open booth supported by a central column with a flower-like capital, with two carrying chairs (Q2) written inside, facing away from one another.","Logogram (jubilee, sed-festival)",C
O23D,kEH_HG,13FCC,U+13FCC,HJ O023D,O23D,O-11-024,"A booth with a round roof with a circle on top, supported by three columns with a flower-like capital, with two carrying chairs (Q2) facing away from one another; on top of an alabaster basin with a diamond shaped inner marking (W3).","Logogram (jubilee, sed-festival)",
O23E,kEH_HG,13FD0,U+13FD0,HJ O023E,O23E,O-11-028,"An open booth supported by a pole (O22), with two carrying chairs (Q2) facing away from one another; on top of an alabaster basin with a diamond shaped inner marking (W3).","Logogram (jubilee, sed-festival)",C
O23F,kEH_HG,13FD1,U+13FD1,HJ O023F,O23F,O-11-030,,,
O23K,kEH_HG,13FD4,U+13FD4,HJ O023K,O23K,O-11-046,"A double pavilion, with columns without capitals, with the rounded roofs curving upwards at the far sides; on top of an alabaster basin with a diamond shaped inner marking (W3).","Logogram (jubilee, sed-festival)",C
O23L,kEH_HG,13FC0,U+13FC0,HJ O023L,O23L,O-11-002,"A double pavilion, with flower-topped capitals on the columns, with curved roofs, without seats.","Logogram (jubilee, sed-festival)",C
O23P,kEH_HG,13FD3,U+13FD3,HJ O023P,O23P,O-11-044,"A double pavilion, with columns without capitals, with the rounded roofs curving upwards at the far sides, with two carrying chairs (Q2), facing away from one another; on top of an alabaster basin with a diamond shaped inner marking (W3).","Logogram (jubilee, sed-festival)",C
O23Q,kEH_HG,13FC7,U+13FC7,HJ O023Q,O23Q,O-11-018,,,
O23T,kEH_HG,13FC8,U+13FC8,HJ O023T,O23T,O-11-019,,,
O24,kEH_HG,13274,U+13274,O024,O24,O-12-002,A pyramid with an enclosure wall.,"Classifier pyramid, tomb",C
O243,kEH_HG,14017,U+14017,HJ O243,O243,O-24-064,"A plan of a crossroads in a village, with multiple lines, angled towards the back, coming from the top.",Classifier conflagration,C
O24A,kEH_HG,13FD8,U+13FD8,O024C,O24A,O-12-004,A mastaba with an enclosure wall.,"Classifier to ascend, to mount up",C
O25,kEH_HG,13276,U+13276,O025,O25,O-13-005,"An obelisk, with base.",Classifier obelisk,C
O26,kEH_HG,13278,U+13278,O026,O26,O-14-002,A stela on a base.,Classifier stela,C
O260,kEH_HG,13F69,U+13F69,HJ O260,O260,O-04-027,"A wall of the palace, with ornamental chevaux de frise on top of the wall, in two sections, the front section with internal decoration, with a cloth wound on a pole, an emblem of divinity (R8) written inside the second section.",Classifier divine,C
O262,kEH_HG,13F52,U+13F52,HJ O262,O262,O-01-067,"Three houses or enclosures, connected together, horizontally.","Logogram (houses, domains)",C
O27,kEH_HG,13279,U+13279,O027,O27,O-15-003,A hall supported by two columns.,"Classifier hall, office",C
O275,kEH_HG,13FA8,U+13FA8,HJ O275,O275,O-09-068,"The head of a bovid, coming from an cone, with a forward, downward line of liquid coming from the mouth, on top of a base.",Logogram (Ennead),C
O276,kEH_HG,13F94,U+13F94,HJ O276,O276,O-08-007,"A star (N14), on top of a gateway, with the bottom fully closed (O32B).",Logogram (doorway),C
O28,kEH_HG,13FDF,U+13FDF,O028D,O28,O-16-004,A column with a tenon at the top.,Phonemogram,C
O280,kEH_HG,13F8E,U+13F8E,HJ O280,O280,O-07-013,"A shrine with vertical sides and a flat roof, with a doorway, with an uraeus at the front tip of the roof.",Logogram (chapel),C
O283,kEH_HG,13FD7,U+13FD7,HJ O283,O283,O-11-056,"A ram (Ovis longipes palaeo-aegyptiacus), standing, without a beard (E11), with a round vessel with an upstanding rim (W24) above its back; written inside a booth consisting of the sky (N1), supported by two columns resembling a stem of papyrus with a bud (M13), with an abacus; on top of a base (O210A); on a broad base.",Phonemogram/Logogram,C
O285A,kEH_HG,13F56,U+13F56,HJ O285A,O285A,O-03-002,"Two rectangles, written vertically, connected together.","Logogram (temple, mansion, estate)",C
O28B,kEH_HG,13FE2,U+13FE2,HJ O028B,O28B,O-16-008,"A column with a base, with a tenon at the top.",Phonemogram,C
O29,kEH_HG,1327B,U+1327B,O029,O29,O-16-024,"A wooden column, written horizontally.",Phonemogram,C
O29v,kEH_HG,1327C,U+1327C,O029A,O29v,O-16-022,"A wooden column, written vertically.",Phonemogram,L
O3,kEH_HG,13253,U+13253,O003,O3,O-01-054,"An oar, written vertically (P8), intruding with the top inside a house or enclosure (O1), with a loaf of bread, without internal detail (X3) left of the oar, and a beer-jug (W22) right of the oar.",Logogram (invocation offering),C
O30,kEH_HG,1327D,U+1327D,O030,O30,O-16-026,A forked pole for supporting a roof.,"Logogram (pole, support)",C
O303,kEH_HG,13F6F,U+13F6F,HJ O303,O303,O-05-026,"A house or enclosure, with battlements on the front, back and top.",,C
O31,kEH_HG,1327F,U+1327F,O031,O31,O-17-001,"A tenoned door, written horizontally.",Logogram (gate),C
O32,kEH_HG,13280,U+13280,O032,O32,O-08-003,A gateway.,Classifier doorway,C
O329,kEH_HG,13FA2,U+13FA2,HJ O329,O329,O-09-044,"A façade of a shrine with a flat roof, with oblique sides, with a large doorway, with a pole in front, with a horizontal line over the roof, connected to the roof with two vertical lines.",Logogram (sanctuary of Upper Egypt),C
O329A,kEH_HG,13FA1,U+13FA1,HJ O329A,O329A,O-09-041,"A façade of a shrine with a flat roof, with oblique sides, with a large doorway, with a pole in front, with a horizontal line over the roof, connected to the roof with three vertical lines.",Classifier shrine,C
O329B,kEH_HG,13F90,U+13F90,HJ O329B,O329B,O-07-015,"A façade of a shrine with a flat roof, with vertical strokes on top, with oblique sides, with a small doorway.",Logogram (palace),C
O32B,kEH_HG,13F92,U+13F92,HJ O032B,O32B,O-08-001,"A gateway, with the bottom fully closed.",Classifier doorway,C
O32C,kEH_HG,13F93,U+13F93,HJ O032C,O32C,O-08-005,"A gateway, with the bottom fully closed, with internal detail.",Phonemogram (in r-rw.t (outside)),C
O32D,kEH_HG,13F96,U+13F96,HJ O032D,O32D,O-08-012,A broad gateway.,Classifier tomb,C
O33,kEH_JSesh,13281,U+13281,O033,O33,O-06-051,"A façade of a palace or tomb, with the top resembling two floating horizontal lines.",Classifier palace façade,C
O337,kEH_HG,13F83,U+13F83,HJ O337,O337,O-06-043,"Two eyes, with the markings of the head of a falcon (D10), arranged horizontally, mirroring each other, written inside a wall of the palace, with ornamental chevaux de frise on top of the wall, without internal decoration.",Logogram (chapel),C
O338,kEH_HG,14018,U+14018,HJ O338,O338,O-24-068,"A wall of a fortress, represented by a rectangle with horizontal lines as internal decoration, with battlements resembling the hill country over the edge of the cultivated areas (N25), with a loop and tie at the back.",Logogram (fortress),C
O33A,kEH_HG,13F7F,U+13F7F,O033S,O33A,O-06-021,"A façade of a palace or tomb, with a doorway.",Classifier palace façade,C
O33C,kEH_HG,13F80,U+13F80,HJ O033C,O33C,O-06-022,"A façade of a palace or tomb, with a doorway, without a line at the bottom.",Logogram (serekh (palace) façade),C
O34,kEH_HG,13283,U+13283,O034,O34,O-18-006,A door bolt.,Phonemogram,C
O342,kEH_HG,13FD6,U+13FD6,HJ O342,O342,O-11-051,"A booth with a round roof, supported by two columns resembling a stem of papyrus with a bud (M13), with an abacus; on top of a base (O210A).","Logogram (ceiling, heaven)",C
O346,kEH_HG,13FBB,U+13FBB,HJ O346,O346,O-10-019,"A cloth wound on a pole, an emblem of divinity (R8), written inside a booth, with the roof curving gradually, with a circle in the center of the roof.",Logogram (divine booth),C
O35,kEH_HG,13284,U+13284,O035,O35,O-18-015,"A door bolt (O034) placed above legs in a walking posture, with feet oriented toward the reading direction (D054).",Phonemogram,C
O36,kEH_HG,13285,U+13285,O036,O36,O-05-108,"A wall, written vertically, with battlements on the corners, and one in the middle of the long sides.",Logogram (wall),C
O36C,kEH_HG,13F72,U+13F72,O036M,O36C,O-05-084,"A wall, written vertically, with multiple battlements on the long sides.",Logogram (wall),C
O36D,kEH_HG,13F78,U+13F78,O036N,O36D,O-05-117,"A wall, written vertically, with a wide base and battlements on the front, back and top.",Classifier wall,C
O37,kEH_HG,1328A,U+1328A,O037,O37,O-05-100,"A wall, with battlements on the corners, and one in the middle of the long sides, written at a forward angle.","Classifier overthrow, demolish",C
O37A,kEH_HG,13F73,U+13F73,HJ O037A,O37A,O-05-099,"A wall, with multiple battlements on its long sides, written at a forward angle.","Classifier overthrow, demolish",C
O38,kEH_HG,1328B,U+1328B,O038,O38,O-19-003,"The corner of a wall, with the opening in the bottom right corner.",Classifier passage,C
O39,kEH_HG,1328C,U+1328C,O039,O39,O-24-002,A rectangular stone slab or brick.,"Classifier stone, brick, pebble",C
O4,kEH_HG,13254,U+13254,O004,O4,O-02-001,A plan of a courtyard or reed shelter.,Phonemogram,C
O40,kEH_HG,1328D,U+1328D,O040,O40,O-20-003,A stairway.,Logogram stairway,C
O41,kEH_HG,1328E,U+1328E,O041,O41,O-20-001,A double stairway.,"Classifier ascending, being high",C
O42,kEH_HG,1328F,U+1328F,O042,O42,O-21-013,"A fence, consisting of a horizontal base with four lines with bulbs at the end, angled backwards, with a curved line connecting the front of the base and the first line with a bulb, with a horizontal line with a loop at the front through the bulbs.",Phonemogram,C
O42A,kEH_HG,13FF5,U+13FF5,HJ O042A,O42A,O-21-001,"A fence, consisting of a base resembling a representation of two ribs, written parallel (Aa15), with four forward angled lines with a bulb on top of it, with a horizontal line through the bulbs, with a loop at the far end.",Phonemogram,C
O42B,kEH_HG,13FF6,U+13FF6,HJ O042B,O42B,O-21-002,"A fence, consisting of a base resembling a representation of two ribs, written parallel (Aa15), with four forward angled lines with a bulb on written over it, starting at the bottom line.",Phonemogram,C
O42C,kEH_HG,13FF7,U+13FF7,HJ O042C,O42C,O-21-004,"A fence, consisting of a base resembling a representation of two ribs, written parallel (Aa15), mirrored, with four forward angled lines with a bulb on written over it, starting at the bottom line.",Phonemogram,C
O42D,kEH_HG,13FF8,U+13FF8,HJ O042D,O42D,O-21-005,,,
O42F,kEH_HG,13FF9,U+13FF9,HJ O042F,O42F,O-21-007,,,
O42I,kEH_HG,13FFB,U+13FFB,HJ O042I,O42I,O-21-012,"A fence, consisting of a base resembling a representation of two ribs, written parallel (Aa15), with four forward angled lines with a bulb over it, starting at the bottom line, with a horizontal line through the bulbs, with a loop at the far end.",Phonemogram,C
O42J,kEH_HG,13FFA,U+13FFA,HJ O042J,O42J,O-21-010,"A fence, consisting of a base resembling a representation of two ribs, written parallel (Aa15), with four forward angled lines with a bulb on top of it, with a horizontal line through the bulbs, which angles downwards at both sides.",Phonemogram,C
O42K,kEH_HG,13FFC,U+13FFC,HJ O042K,O42K,O-21-014,,,
O43,kEH_HG,13290,U+13290,O043,O43,O-21-017,"A fence, consisting of a horizontal base, with five vertical lines with a bulb on top of it, with a horizontal line through the bulbs.",Phonemogram,C
O43A,kEH_HG,13FFD,U+13FFD,HJ O043A,O43A,O-21-020,"A fence, consisting of three forward angled lines with a bulb at the end, on top of a horizontal base.","Logogram (field, arable land)",C
O43B,kEH_HG,13FFE,U+13FFE,HJ O043B,O43B,O-21-021,"A fence, consisting of four forward angled lines with a bulb at the end, on top of a horizontal base.",Phonemogram,C
O44,kEH_HG,13291,U+13291,O044,O44,O-24-013,"The emblem erected outside the temple of Min, resembling the horns of a bovid (F13) on top of a stem of papyrus with a bud (M13), with a coil of rope (V1) between the horns.","Logogram (office, rank, function)",C
O44A,kEH_HG,13BA7,U+13BA7,HJ O044A,O44A,F-11-022,,,
O44B,kEH_HG,1400B,U+1400B,HJ O044B,O44B,O-24-016,"The emblem erected outside the temple of Min, resembling the horns of a bovid (F13) on top of a stem of papyrus with a bud (M13).","Logogram (office, rank, function)",C
O44C,kEH_HG,1400A,U+1400A,HJ O044C,O44C,O-24-012,"A cult emblem of Min, a standard consisting of a coil on top of a pole, with a triangular shape topping the coil.",Logogram (the emblem of the cult of Min),C
O45,kEH_HG,13292,U+13292,O045,O45,O-24-023,"A domed building, in the form of a quarter of a circle, with a smaller quarter circle inside the corner away from the reading direction.","Logogram (harim, inner chamber)",C
O46,kEH_HG,13293,U+13293,O046,O46,O-24-029,"A domed building, with a rectangle in the corner away from the reading direction.","Logogram (harim, inner chamber)",C
O47,kEH_HG,14010,U+14010,O047X,,O-24-030,"A plan of a prehistoric building at the town of Nekhen, written as an oval, with the angled lines touching the oval.",Phonemogram,C
O48,kEH_HG,13295,U+13295,O048,O48,O-24-048,"A plan of a prehistoric building at the town of Nekhen, written as a circle / A circle with two vertical strokes, arranged horizontally, written within it.","Logogram (time, occasion)",C
O48A,kEH_HG,14015,U+14015,HJ O048A,O48A,O-24-050,,,
O49,kEH_HG,13296,U+13296,O049,O49,O-24-060,A plan of a crossroads in a village.,"Logogram (city, village)",C
O4B,kEH_HG,13F53,U+13F53,HJ O004B,O4B,O-02-005,"An enclosure wall without battlements, with an enclosed square in the bottom right corner.",Logogram (court),C
O5,kEH_HG,13255,U+13255,O005,O5,O-02-008,A plan of a winding wall.,Phonemogram,C
O50,kEH_HG,14016,U+14016,O050E,,O-24-053,,,
O51,kEH_HG,1329A,U+1329A,O051,O51,O-22-002,A heap of grain on a raised floor.,Logogram (granary),C
O51A,kEH_HG,14003,U+14003,HJ O051A,O51A,O-22-011,"A rounded heap of grain on a raised floor, without internal detail.",Logogram (granary),C
O51B,kEH_HG,13FFF,U+13FFF,HJ O051B,O51B,O-22-001,"A heap of grain on a raised floor, without internal detail.",,C
O51C,kEH_HG,14001,U+14001,HJ O051C,O51C,O-22-008,,,
O53,kEH_HG,13F4C,U+13F4C,HJ O053,O53,O-01-004,"Two houses or enclosures, connected to each other horizontally.",Classifier two tombs,C
O5u,kEH_HG,13256,U+13256,O005A,O5U,O-02-009,,,L
O6,kEH_HG,13257,U+13257,O006,O6,O-03-005,"A plan of a rectangular enclosure, with an internal rectangle in the lower corner away from the reading direction.","Logogram (temple, mansion, estate)",C
O6A,kEH_HG,13F59,U+13F59,O006K,O6A,O-03-014,"A plan of a rectangular enclosure, with an internal rectangle in both upper corners.","Logogram (temple, mansion, estate)",C
O6B,kEH_HG,13F58,U+13F58,O006J,O6B,O-03-013,,,
O6C,kEH_HG,13F55,U+13F55,O006L,O6C,O-03-001,,,
O7,kEH_HG,1325E,U+1325E,O007,O7,O-03-027,"A half round loaf of bread (X1), written inside a plan of a rectangular enclosure, with an internal rectangle in the lower corner away from the reading direction (O6).","Logogram (temple, mansion, estate)",L
O70,kEH_HG,13F4D,U+13F4D,HJ O070,O70,O-01-053,"An oar, written vertically (P8), intruding with the top inside a house or enclosure (O1).",Logogram (invocation offering),C
O71,kEH_HG,13F4F,U+13F4F,HJ O071,O71,O-01-061,"A feather (H6), written vertically on top of a house or domain (O1).",Logogram (temple),C
O71A,kEH_HG,13F4E,U+13F4E,HJ O071A,O71A,O-01-060,,,
O72,kEH_HG,13F51,U+13F51,HJ O072,O72,O-01-064,"Three feathers (H6), written vertically, on top of three houses or enclosures, connected together, horizontally (O262).",Logogram (temple),C
O8,kEH_JSesh,1325F,U+1325F,O008,O8,O-03-044,"A wooden column, written horizontally (O29), written over a half round loaf of bread (X1), written inside a plan of a rectangular enclosure, with an internal rectangle in the lower corner away from the reading direction (O6).","Logogram (the great domain, temple)",L
O84,kEH_JSesh,13F57,U+13F57,O084,O84,O-03-012,"Three plans of a rectangular enclosure, with an internal rectangle in the lower corner away from the reading direction, connected to each other.","Logogram (temples, mansions, estates)",C
O85,kEH_HG,1325C,U+1325C,O006E,O85,O-03-022,,,C
O85A,kEH_HG,1325B,U+1325B,O006D,O85A,O-03-024,,,C
O88,kEH_HG,13F5B,U+13F5B,HJ O088,O88,O-03-036,"Three times a half round loaf of bread (X1), written inside a plan of a rectangular enclosure, with an internal rectangle in the lower corner away from the reading direction (O6), connected horizontally.","Logogram (temples, mansions, estates)",C
O88A,kEH_HG,13F5C,U+13F5C,HJ O088A,O88A,O-03-037,"Three times a half round loaf of bread (X1), written inside a plan of a rectangular enclosure, with an internal rectangle in the top corner away from the reading direction (O6), connected horizontally.","Logogram (temples, mansions, estates)",C
O9,kEH_HG,13260,U+13260,O009,O9,O-03-175,"A wickerwork basket (V30), on top of a plan of a rectangular enclosure, with an internal rectangle in the lower corner away from the reading direction (O6), with a half round loaf of bread (X1), written inside the enclosure.",Logogram (Nephthys (divinity)),L
O96,kEH_HG,13F5D,U+13F5D,HJ O096,O96,O-03-113,"A falcon (G5), written inside a plan of a rectangular enclosure, with an internal rectangle in the top corner away from the reading direction; on top of a wickerwork basket (V30).","Logogram (Hathor, lady (of))",C
O98A,kEH_HG,13F68,U+13F68,HJ O098A,O98A,O-04-026,,,
O99,kEH_HG,13F67,U+13F67,HJ O099,O99,O-04-025,"A wall of the palace, with ornamental chevaux de frise on top of the wall, with internal decoration resembling two rectangles with an angled line inside, going from the front bottom corner to the top corner in the back; on a wide base, with a rectangle at the front with horizontal chevaux de frise at the front.",Logogram (palace),C
O9B,kEH_HG,13F60,U+13F60,HJ O009B,O9B,O-03-171,"A wickerwork basket (V30), on top of a plan of a rectangular enclosure, with an internal rectangle in the lower corner away from the reading direction (O6).",Logogram (Nephthys (divinity)),C
O9C,kEH_HG,13F61,U+13F61,HJ O009C,O9C,O-03-172,"A wickerwork basket (V30), on a small vertical rectangle, with a wide base.",Logogram (Nephthys (divinity)),C
P1,kEH_HG,1329B,U+1329B,P001,P1,P-01-015,"A boat/ship, resembling a crescent moon, on top of a rectangle representing water, with a carrying chair (Q2) inside the boat/ship, with an oar/rudder at the back.",Classifier movement,C
P10,kEH_HG,132A6,U+132A6,P010,P10,P-09-001,An oar used for the steering of a ship (rudder).,Logogram (steering oar),C
P104A,kEH_HG,14023,U+14023,HJ P104A,P104A,P-01-023,"A boat/ship, resembling a crescent moon, with a carrying chair (Q2) inside the boat/ship, with an oar/rudder at the back.",Classifier movement,C
P106,kEH_HG,14030,U+14030,HJ P106,P106,P-01-041,A boat/ship with a prow and stern resembling the handle of a sickle (U1).,Classifier bark/boat,C
P10B,kEH_HG,14092,U+14092,HJ P010B,P10B,P-09-002,,,
P11,kEH_HG,132A7,U+132A7,P011,P11,P-10-003,A mooring post.,Classifier mooring post,C
P110,kEH_HG,1405B,U+1405B,HJ P110,P110,P-03-058,,,
P111,kEH_HG,1403B,U+1403B,HJ P111,P111,P-01-067,,,
P115,kEH_HG,14068,U+14068,HJ P115,P115,P-03-083,"A moon-sickle shaped boat with a higher prow than stern, with the head of an antelope (F081) on top of the prow, on top of a sledge with two vertical internal strokes, with a falcon (G005) standing on top of a rectangular shrine, inside the boat/ship, with an oar/rudder at the back.",Classifier bark of Sokar,C
P116,kEH_HG,14070,U+14070,HJ P116,P116,P-03-103,"A moon-sickle shaped boat with a higher prow than stern, with a rudder, with the head of an antelope (F081) on top of the prow, facing inwards, with a downward line with multiple horizontal lines written over it coming from the head, on top of a sledge, with a falcon (G005), standing on top of a rectangular shrine, with vertical lines as internal detail, written inside the boat/ship.",Logogram (Sokar),C
P118,kEH_HG,1408B,U+1408B,HJ P118,P118,P-07-001,"A mast of a ship, with two prongs, with white filling between the prongs.",Phonemogram,C
P13,kEH_HG,1401A,U+1401A,HJ P013,P13,P-01-001,"A boat/ship, resembling a crescent moon, on top of a rectangle representing water.",Classifier movement,C
P15A,kEH_HG,1401B,U+1401B,HJ P015A,P15A,P-01-004,"A boat/ship, resembling a crescent moon, with a low cone shape inside the boat/ship: on top of a base of two blocks, on a longer horizontal line.",Classifier boat/ship/bark,C
P16,kEH_HG,1401C,U+1401C,HJ P016,P16,P-01-006,"A boat/ship with an upwards curved prow and a horizontal stern, with a low cone shape inside the boat/ship; on top of a base of two blocks, on a longer horizontal line.","Logogram (ship, boat, bark)",C
P17,kEH_HG,1401F,U+1401F,HJ P017,P17,P-01-011,"A boat/ship, resembling a crescent moon, on top of a rectangle representing water, with a vertical rectangle inside the boat/ship.",Classifier movement,C
P19,kEH_HG,1401E,U+1401E,HJ P019,P19,P-01-008,"A boat/ship, resembling a crescent moon, on top of a canal (N36), with a low cone shape inside the boat/ship.",Classifier movement,C
P1A,kEH_HG,1329C,U+1329C,P001A,P1A,P-01-017,"An upside-down boat/ship, resembling a crescent moon, on top of a rectangle representing water, with a carrying chair (Q2) inside the boat/ship, with an oar/rudder at the back.","Classifier to upset, to overturn",C
